"year","observed_on","jday","n_obs","n_users","date","weekday"
"2018","2018-01-01",2458119.5,9083,2090,2018-01-01,"Monday"
"2018","2018-01-02",2458120.5,6124,1574,2018-01-02,"Tuesday"
"2018","2018-01-03",2458121.5,6397,1520,2018-01-03,"Wednesday"
"2018","2018-01-04",2458122.5,7020,1607,2018-01-04,"Thursday"
"2018","2018-01-05",2458123.5,6649,1566,2018-01-05,"Friday"
"2018","2018-01-06",2458124.5,9881,1992,2018-01-06,"Saturday"
"2018","2018-01-07",2458125.5,9237,2043,2018-01-07,"Sunday"
"2018","2018-01-08",2458126.5,6192,1425,2018-01-08,"Monday"
"2018","2018-01-09",2458127.5,6141,1557,2018-01-09,"Tuesday"
"2018","2018-01-10",2458128.5,6676,1721,2018-01-10,"Wednesday"
"2018","2018-01-11",2458129.5,6777,1688,2018-01-11,"Thursday"
"2018","2018-01-12",2458130.5,6454,1630,2018-01-12,"Friday"
"2018","2018-01-13",2458131.5,10012,2094,2018-01-13,"Saturday"
"2018","2018-01-14",2458132.5,10441,2152,2018-01-14,"Sunday"
"2018","2018-01-15",2458133.5,7242,1755,2018-01-15,"Monday"
"2018","2018-01-16",2458134.5,6331,1516,2018-01-16,"Tuesday"
"2018","2018-01-17",2458135.5,6014,1599,2018-01-17,"Wednesday"
"2018","2018-01-18",2458136.5,5548,1500,2018-01-18,"Thursday"
"2018","2018-01-19",2458137.5,7615,1777,2018-01-19,"Friday"
"2018","2018-01-20",2458138.5,11445,2296,2018-01-20,"Saturday"
"2018","2018-01-21",2458139.5,9934,2241,2018-01-21,"Sunday"
"2018","2018-01-22",2458140.5,5955,1589,2018-01-22,"Monday"
"2018","2018-01-23",2458141.5,6958,1719,2018-01-23,"Tuesday"
"2018","2018-01-24",2458142.5,6778,1773,2018-01-24,"Wednesday"
"2018","2018-01-25",2458143.5,6813,1783,2018-01-25,"Thursday"
"2018","2018-01-26",2458144.5,8368,1980,2018-01-26,"Friday"
"2018","2018-01-27",2458145.5,11223,2390,2018-01-27,"Saturday"
"2018","2018-01-28",2458146.5,10682,2393,2018-01-28,"Sunday"
"2018","2018-01-29",2458147.5,7659,1678,2018-01-29,"Monday"
"2018","2018-01-30",2458148.5,6921,1771,2018-01-30,"Tuesday"
"2018","2018-01-31",2458149.5,7553,1865,2018-01-31,"Wednesday"
"2018","2018-02-01",2458150.5,8267,1904,2018-02-01,"Thursday"
"2018","2018-02-02",2458151.5,8004,1876,2018-02-02,"Friday"
"2018","2018-02-03",2458152.5,11368,2391,2018-02-03,"Saturday"
"2018","2018-02-04",2458153.5,10023,2241,2018-02-04,"Sunday"
"2018","2018-02-05",2458154.5,6581,1696,2018-02-05,"Monday"
"2018","2018-02-06",2458155.5,6445,1716,2018-02-06,"Tuesday"
"2018","2018-02-07",2458156.5,6199,1776,2018-02-07,"Wednesday"
"2018","2018-02-08",2458157.5,7308,1889,2018-02-08,"Thursday"
"2018","2018-02-09",2458158.5,7530,2131,2018-02-09,"Friday"
"2018","2018-02-10",2458159.5,12062,2579,2018-02-10,"Saturday"
"2018","2018-02-11",2458160.5,10549,2158,2018-02-11,"Sunday"
"2018","2018-02-12",2458161.5,6801,1799,2018-02-12,"Monday"
"2018","2018-02-13",2458162.5,6774,1860,2018-02-13,"Tuesday"
"2018","2018-02-14",2458163.5,7167,2069,2018-02-14,"Wednesday"
"2018","2018-02-15",2458164.5,9106,2261,2018-02-15,"Thursday"
"2018","2018-02-16",2458165.5,9010,2297,2018-02-16,"Friday"
"2018","2018-02-17",2458166.5,14480,2873,2018-02-17,"Saturday"
"2018","2018-02-18",2458167.5,12544,2793,2018-02-18,"Sunday"
"2018","2018-02-19",2458168.5,9357,2287,2018-02-19,"Monday"
"2018","2018-02-20",2458169.5,8742,2295,2018-02-20,"Tuesday"
"2018","2018-02-21",2458170.5,8090,2262,2018-02-21,"Wednesday"
"2018","2018-02-22",2458171.5,7368,2104,2018-02-22,"Thursday"
"2018","2018-02-23",2458172.5,9253,2361,2018-02-23,"Friday"
"2018","2018-02-24",2458173.5,13535,2963,2018-02-24,"Saturday"
"2018","2018-02-25",2458174.5,11969,2791,2018-02-25,"Sunday"
"2018","2018-02-26",2458175.5,8147,2227,2018-02-26,"Monday"
"2018","2018-02-27",2458176.5,9452,2487,2018-02-27,"Tuesday"
"2018","2018-02-28",2458177.5,10150,2458,2018-02-28,"Wednesday"
"2018","2018-03-01",2458178.5,9423,2362,2018-03-01,"Thursday"
"2018","2018-03-02",2458179.5,10571,2191,2018-03-02,"Friday"
"2018","2018-03-03",2458180.5,19870,3245,2018-03-03,"Saturday"
"2018","2018-03-04",2458181.5,14962,3087,2018-03-04,"Sunday"
"2018","2018-03-05",2458182.5,9545,2407,2018-03-05,"Monday"
"2018","2018-03-06",2458183.5,10673,2485,2018-03-06,"Tuesday"
"2018","2018-03-07",2458184.5,10639,2439,2018-03-07,"Wednesday"
"2018","2018-03-08",2458185.5,11250,2568,2018-03-08,"Thursday"
"2018","2018-03-09",2458186.5,12632,2802,2018-03-09,"Friday"
"2018","2018-03-10",2458187.5,20427,3603,2018-03-10,"Saturday"
"2018","2018-03-11",2458188.5,17442,3410,2018-03-11,"Sunday"
"2018","2018-03-12",2458189.5,10327,2617,2018-03-12,"Monday"
"2018","2018-03-13",2458190.5,12177,2687,2018-03-13,"Tuesday"
"2018","2018-03-14",2458191.5,11883,2791,2018-03-14,"Wednesday"
"2018","2018-03-15",2458192.5,13011,2974,2018-03-15,"Thursday"
"2018","2018-03-16",2458193.5,13232,2976,2018-03-16,"Friday"
"2018","2018-03-17",2458194.5,18707,3661,2018-03-17,"Saturday"
"2018","2018-03-18",2458195.5,19780,3871,2018-03-18,"Sunday"
"2018","2018-03-19",2458196.5,12532,3105,2018-03-19,"Monday"
"2018","2018-03-20",2458197.5,12098,2933,2018-03-20,"Tuesday"
"2018","2018-03-21",2458198.5,14256,3083,2018-03-21,"Wednesday"
