"year","n_obs","n_users","n_obs_rg","prop_rg"
"2008",92911,4837,54986,0.591813671147657
"2009",135285,5291,82045,0.606460435377167
"2010",175363,6292,100215,0.571471747175858
"2011",246334,8559,136488,0.554076984906671
"2012",373341,12086,212503,0.569192775505503
"2013",585231,18093,343292,0.58659230286844
"2014",873269,27155,500784,0.57345903724969
"2015",1322969,43468,767071,0.579810260104356
"2016",2356656,87238,1324783,0.562145260063412
"2017",4113091,145141,2442964,0.593948444126327
"2018",7835118,332913,4339769,0.55388687190161
"2019",13150801,512790,7736071,0.588258540297279
